average_flavor_rating,brand_name,link,number_of_flavors,number_of_reviews,overall_rating,price,price_per_serving,product_category,product_description,product_name,top_flavor_rated,verified_buyer_number,verified_buyer_rating
,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/men.html?skuId=OPT2500476,,1644.0,9.2,36.98,0.46,Men's Health Products,Active Ingredients and Essential Daily Nutrients in One Convenient Tablet*,Opti-Men,Unknown,Unknown,
,Animal,https://sa.bodybuilding.com/store/univ/flex.html?skuId=UNIV164,,464.0,9.4,27.99,0.64,Glucosamine,The Complete Joint Support Vitamin Stack*,Animal Flex,Unknown,Unknown,
9.1,Cellucor,https://sa.bodybuilding.com/store/cellucor/c4-ripped.html?skuId=CELLU3660233,9.0,299.0,9.0,39.99,1.33,Beta-Alanine,Explosive Energy and Cutting Formula*,C4 Ripped,Fruity Rainbow Blast,172,9.0
,Animal,https://sa.bodybuilding.com/store/univ/cutsfree.html?skuId=UNIV109,,853.0,8.4,34.95,0.83,Caffeine,The Complete Vitamin Stack For Cutting Fat*,Animal Cuts,Unknown,155,8.0
8.8,Kaged Muscle,https://sa.bodybuilding.com/store/kaged-muscle/re-kaged.html?skuId=KAG4610510,2.0,374.0,9.3,37.97,1.9,Build Muscle Products,Whey Protein Isolate Powder to Support Muscle Growth*,Re-Kaged,Orange Kream,247,9.0
,MuscleTech,https://sa.bodybuilding.com/store/muscletech/amino-build-next-gen.html?skuId=MT4060011,,1328.0,9.6,17.49,0.58,BCAAs,Clinically Dosed Performance Enhancing BCAA Formula With Betaine,Amino Build Next Gen,Unknown,Unknown,
8.8,Cellucor,https://sa.bodybuilding.com/store/cellucor/c4.html?skuId=CELLU5100018,23.0,4290.0,8.7,49.99,0.83,Beta-Alanine,An Advanced Pre-Workout Formulated for Anyone Seeking Increased Energy and Focus*,C4 Original,Juicy Candy Burst,1491,8.0
,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/women.html?skuId=OPT127,,339.0,9.5,16.28,0.27,Multivitamins,Daily Multi-Vitamin Capsule for Women's Health*,Opti-Women,Unknown,Unknown,
9.8,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/glutamine5000.html?skuId=EVL4860171,1.0,98.0,9.6,15.99,0.27,Glutamine,5000Mg Of L-Glutamine To Support Optimal Levels During And Post Workout*,Glutamine5000,Unflavored,72,9.0
8.9,Kaged Muscle,https://sa.bodybuilding.com/store/kaged-muscle/c-hcl-creatine-hcl.html?skuId=KAG4340104,2.0,135.0,9.5,19.99,0.27,Creatine HCl,750mg Of Patented Creatine Hydrochloride With Uncompromised Quality and Purity,C-HCl,Lemon Lime,92,9.0
7.8,Isopure,https://sa.bodybuilding.com/store/isopure/zero-carb.html?skuId=NB035,13.0,621.0,8.6,42.49,1.93,Whey Protein Isolate,Zero Carb Isopure!,Zero/Low Carb Isopure,Chocolate holandês com baixo teor de carboidratos,245,8.0
9.3,RSP Nutrition,https://sa.bodybuilding.com/store/rsp-nutrition/aminolean.html?skuId=RSP4740003,9.0,2633.0,9.6,36.97,0.53,Amino Acids,Essential Amino Acids Formulated with Caffeine from Natural Sources to Support Building Lean Muscle*,AminoLean Energy Formula,Blue Raspberry,1367,9.0
7.9,BSN,https://sa.bodybuilding.com/store/bsn/xplode.html?skuId=BSN2480010,14.0,4405.0,8.0,29.99,1.0,Improve Workout Products,The Original Pre-Workout Igniter. Re-Engineered,N.O.-Xplode,Fruit Punch,873,7.0
,Dymatize,https://sa.bodybuilding.com/store/dymatize/iso-100.html?skuId=DYM1930120,,2332.0,9.4,29.99,1.25,Build Muscle Products,Hydrolyzed 100% Whey Protein Isolate,ISO100,Unknown,Unknown,
,MuscleTech,https://sa.bodybuilding.com/store/muscletech/pro-series-alpha-test.html?skuId=MT4140033,,395.0,8.6,13.92,0.23,Fenugreek,Max-Strength Test Booster Engineered For Enhanced Performance*,Pro Series Alpha Test,Unknown,Unknown,
,Animal,https://sa.bodybuilding.com/store/univ/stak2.html?skuId=UNIV1790068,,462.0,8.6,35.49,1.69,Tribulus,The Complete Anabolic Support Vitamin Stack*,Animal Stak,Unknown,129,8.0
9.8,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/glutamine5000.html?skuId=EVL5630021,1.0,98.0,9.6,8.99,0.3,Glutamine,5000Mg Of L-Glutamine To Support Optimal Levels During And Post Workout*,Glutamine5000,Unflavored,72,9.0
8.7,Grenade,https://sa.bodybuilding.com/store/grenade/carb-killa.html?skuId=GREN4580009,13.0,130.0,9.2,33.14,2.76,Protein,Triple-Layered Deliciously Crunchy Low-Carb Protein Bar!,Carb Killa,Chocolate Crunch,88,9.0
,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/vitamode.html?skuId=EVL4230011,,719.0,9.5,28.99,0.48,Multivitamins,High Performance Multi-Vitamin for Overall Health*,VitaMode,Unknown,458,9.0
9.2,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/leanbcaa.html?skuId=EVL3930002,3.0,253.0,9.3,19.99,0.67,BCAAs,BCAA Powder,LeanBCAA,Watermelon,141,9.0
,Bodybuilding.com Signature,https://sa.bodybuilding.com/store/bodybuilding-com/signature-zma.html?skuId=BBCOM5100080,,23.0,8.2,12.99,0.43,ZMA,Supports Muscle Recovery*,Signature ZMA,Unknown,20,8.0
,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/men.html?skuId=OPT2380276,,1644.0,9.2,23.98,0.48,Men's Health Products,Active Ingredients and Essential Daily Nutrients in One Convenient Tablet*,Opti-Men,Unknown,Unknown,
,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/women.html?skuId=OPT128,,339.0,9.5,9.43,0.31,Multivitamins,Daily Multi-Vitamin Capsule for Women's Health*,Opti-Women,Unknown,Unknown,
9.8,RSP Nutrition,https://sa.bodybuilding.com/store/rsp-nutrition/creatine-monohydrate.html?skuId=RSP4860240,1.0,809.0,9.7,9.97,0.17,Creatine Monohydrate,5G Of Pharmaceutical Grade Micronized Creatine To Support Growth*,Creatine Monohydrate,Unflavored,537,9.0
,AllMax Nutrition,https://sa.bodybuilding.com/store/all/caf.html?skuId=ALL022,,82.0,9.1,4.4,0.04,Caffeine,Caffeine Tablet for Increased Energy*,Caffeine,Unknown,Unknown,
9.3,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/trans4orm.html?skuId=EVL4040243,2.0,1857.0,9.1,6.99,0.7,Weight Loss Products,"Complete Multistage Thermogenic for Fat Loss, with Natural Energy Sources and Focus.*",TRANS4ORM,Blue Raz,845,9.0
8.6,Animal,https://sa.bodybuilding.com/store/universal-nutrition/animal-whey.html?skuId=UNIV4200013,18.0,596.0,9.1,46.95,0.84,Whey Protein Isolate,Formulated with Whey Protein Isolate to Supplement the Extreme Protein Requirements of Hardcore Lifters*,Animal Whey,Chocolate Coconut,434,9.0
8.9,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/bcaa-5000.html?skuId=EVL3080010,10.0,1636.0,9.3,15.99,0.53,Amino Acids,"BCAA Powder with 5g BCAAs, Zero Sugar and Zero Calories to Support Recovery and Endurance*",BCAA 5000,White Grape,964,9.0
8.7,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/crea.html?skuId=OPT540096,2.0,946.0,9.1,15.37,0.13,Creatine Monohydrate,99.9% Pure Unflavored Creatine with No Fillers or Additives to Support Strength and Power*,Micronized Creatine Powder,Unflavoured,434,9.0
9.1,BSN,https://sa.bodybuilding.com/store/bsn/true.html?skuId=BSN042,6.0,582.0,9.1,43.7,2.73,Whey Protein,Ultra Premium Muscle Mass Gainer*,True-Mass,Manteiga de amendoim e chocolate,105,9.0
,Controlled Labs,https://sa.bodybuilding.com/store/clabs/orangetriad.html?skuId=CLABS030,,479.0,9.2,31.9,0.71,Multivitamins,"Iron Free Daily Multivitamin Supports Optimal Digestion, The Immune System, and Joint Health*",Orange Triad,Unknown,Unknown,
8.5,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/evltest.html?skuId=EVL4860178,1.0,1370.0,9.0,19.99,1.43,D-Aspartic Acid,Science Based Natural Testosterone Support Complex*!,EVL TEST,Blue Raz,724,8.0
7.9,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/cas.html?skuId=OPT375,13.0,2601.0,8.8,32.88,1.22,Micellar Casein Protein,Nighttime Use Protein Powder for Building Muscle*,Gold Standard 100% Casein,Chocolate supremo,925,8.0
,Animal,https://sa.bodybuilding.com/store/univ/animalpak.html?skuId=UNIV4240027,,1765.0,9.3,28.95,1.32,Health & Wellness Products,Supports Rigorous Training for All Competitive Strength and Power Athletes*,Animal Pak,Unknown,Unknown,
7.9,BSN,https://sa.bodybuilding.com/store/bsn/xplode.html?skuId=BSN2480006,14.0,4405.0,8.0,46.97,0.78,Improve Workout Products,The Original Pre-Workout Igniter. Re-Engineered,N.O.-Xplode,Fruit Punch,873,7.0
8.7,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/crea.html?skuId=OPT408,2.0,946.0,9.1,8.7,0.15,Creatine Monohydrate,99.9% Pure Unflavored Creatine with No Fillers or Additives to Support Strength and Power*,Micronized Creatine Powder,Unflavoured,434,9.0
8.8,Optimum Nutrition,https://sa.bodybuilding.com/store/optimum-nutrition/gold-standard-pre-workout.html?skuId=OPT4230274,8.0,555.0,8.3,19.99,0.67,Improve Workout Products,A Pre-Workout Worthy of the Gold Standard Name,Gold Standard Pre-Workout,Blueberry Lemonade,309,8.0
9.6,Beverly International,https://sa.bodybuilding.com/store/beverly-international/ump.html?skuId=BEV029,6.0,212.0,9.5,40.4,1.35,Whey Protein Blends,Ultra-Premium Protein Powder,UMP,Biscoitos e creme,102,9.0
,Kaged Muscle,https://sa.bodybuilding.com/store/kaged-muscle/glutamine-powder.html?skuId=KAG2920049,,165.0,9.7,15.99,0.16,Glutamine,"100% Pure Glutamine Powder Formulated with Vegetable Fermentation, GRAS Approved",Glutamine Powder,Unknown,Unknown,
8.0,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/sm.html?skuId=OPT1900062,7.0,1118.0,8.5,27.48,3.44,Whey Protein,Protein Powder Weight Gainer*,Serious Mass,Chocolate Peanut Butter,430,8.0
,MuscleTech,https://sa.bodybuilding.com/store/muscletech/muscletech-performance-series-nitro-tech-100percent-whey-gold.html?skuId=MT5240117,,1882.0,9.0,20.29,0.65,Whey Protein,Each Scoop Serves Up 24G Of Ultra-Premium Micro-Filtered Protein,NITRO-TECH 100% Whey Gold,Unknown,Unknown,
,Cellucor,https://sa.bodybuilding.com/store/cellucor/c4-ultimate.html?skuId=CELLU5390088,,169.0,9.3,39.99,2.0,Citrulline,The Ultimate Pre-Workout Experience,C4 Ultimate,Unknown,Unknown,
,MusclePharm,https://sa.bodybuilding.com/store/musclepharm/combat.html?skuId=MPHARM007,,2992.0,9.2,31.48,0.61,Whey Protein,Protein Powder Blend for Muscle Growth*,Combat Powder,Unknown,Unknown,
8.1,Isopure,https://sa.bodybuilding.com/store/nb/drink.html?skuId=NB2100036,9.0,89.0,9.0,3.99,3.99,Whey Protein,Ready-to-Drink!,Zero Carb Isopure Drink,Maçã e melão,36,9.0
,Dymatize,https://sa.bodybuilding.com/store/dym/elite-casein.html?skuId=DYM2280142,,719.0,8.7,48.76,0.96,Micellar Casein Protein,"25g of Protein to Continuously Feeds Muscles, Even When You Can’t*",Elite Casein,Unknown,Unknown,
,Bodybuilding.com Signature,https://sa.bodybuilding.com/store/bodybuilding-com/signature-micronized-glutamine.html?skuId=BBCOM5100082,,12.0,10.0,19.99,0.2,Glutamine,Glutamine Replenishment,Signature Micronized Glutamine,Unknown,Unknown,
8.4,Cellucor,https://sa.bodybuilding.com/store/cellucor/cor-performance-whey.html?skuId=CELLU4510006,20.0,1915.0,9.0,49.99,0.71,Whey Protein,Great Tasting Protein with Minimal Fat and Carbs and Added Digestive Enzymes*,COR-Performance Whey,Funfetti,1373,9.0
